ansatz_type,problem_index,trial,energy,exact_energy,error,time,build_time,opt_time,params,depth,converged,adapt_iterations,adapt_initial_energy,adapt_energy_drop,adapt_history_length,termination_criterion
MomentumBuilder,11,4,-6.203923155325461,-12.0,5.796076844674539,1.4582090377807617,1.2114920616149902,0.24671697616577148,20,12,False,,,,,
MomentumBuilder,12,4,-15.769273111888012,-10.0,5.769273111888012,0.36832618713378906,0.19642901420593262,0.17189717292785645,11,10,False,,,,,
MomentumBuilder,1,5,-9.999999993118848,-10.0,6.881151648485684e-09,0.02144598960876465,9.202957153320312e-05,0.021353960037231445,1,1,True,,,,,
MomentumBuilder,2,5,10.000000006611288,500.0,489.9999999933887,0.02052021026611328,0.0001461505889892578,0.020374059677124023,1,1,False,,,,,
MomentumBuilder,3,5,-9.999975318777821,-10.0,2.4681222178912776e-05,0.14835405349731445,0.03255796432495117,0.11579608917236328,8,13,True,,,,,
MomentumBuilder,4,5,-12.838442185295605,-13.0,0.1615578147043948,0.17470598220825195,0.03333878517150879,0.14136719703674316,8,13,False,,,,,
MomentumBuilder,5,5,-21.415277990258588,-22.0,0.5847220097414123,0.2598121166229248,0.06428694725036621,0.1955251693725586,9,14,False,,,,,
MomentumBuilder,6,5,-2.6110233731478596,-7.0,4.38897662685214,0.27562999725341797,0.10979294776916504,0.16583704948425293,10,13,False,,,,,
MomentumBuilder,7,5,-14.895473163490394,-24.0,9.104526836509606,0.3529210090637207,0.18839216232299805,0.16452884674072266,11,9,False,,,,,
MomentumBuilder,8,5,-9.99954949913456,-10.0,0.0004505008654405174,0.26554226875305176,0.12067627906799316,0.1448659896850586,10,12,True,,,,,
MomentumBuilder,9,5,-7.824657510058383,-10.0,2.1753424899416167,0.2697489261627197,0.11162495613098145,0.15812397003173828,10,14,False,,,,,
MomentumBuilder,10,5,-14.432001032971932,-15.0,0.5679989670280676,0.2760429382324219,0.11751127243041992,0.15853166580200195,10,13,False,,,,,
MomentumBuilder,11,5,-6.203923155325461,-12.0,5.796076844674539,1.5362300872802734,1.2867541313171387,0.24947595596313477,20,12,False,,,,,
MomentumBuilder,12,5,-15.769273111888012,-10.0,5.769273111888012,0.363849401473999,0.19134998321533203,0.172499418258667,11,10,False,,,,,
MomentumBuilder,1,6,-9.999999993118848,-10.0,6.881151648485684e-09,0.021022319793701172,0.00010013580322265625,0.020922183990478516,1,1,True,,,,,
MomentumBuilder,2,6,10.000000006611288,500.0,489.9999999933887,0.020406007766723633,8.797645568847656e-05,0.020318031311035156,1,1,False,,,,,
MomentumBuilder,3,6,-9.999975318777821,-10.0,2.4681222178912776e-05,0.1544027328491211,0.03250288963317871,0.12189984321594238,8,13,True,,,,,
MomentumBuilder,4,6,-12.838442185295605,-13.0,0.1615578147043948,0.17089104652404785,0.03155016899108887,0.13934087753295898,8,13,False,,,,,
MomentumBuilder,5,6,-21.415277990258588,-22.0,0.5847220097414123,0.2043309211730957,0.06573486328125,0.1385960578918457,9,14,False,,,,,
MomentumBuilder,6,6,-2.6110233731478596,-7.0,4.38897662685214,0.26212096214294434,0.1097710132598877,0.15234994888305664,10,13,False,,,,,
MomentumBuilder,7,6,-14.895473163490394,-24.0,9.104526836509606,0.35401296615600586,0.19578814506530762,0.15822482109069824,11,9,False,,,,,
MomentumBuilder,8,6,-9.99954949913456,-10.0,0.0004505008654405174,0.27373647689819336,0.11366772651672363,0.16006875038146973,10,12,True,,,,,
MomentumBuilder,9,6,-7.824657510058383,-10.0,2.1753424899416167,0.26344823837280273,0.1088101863861084,0.15463805198669434,10,14,False,,,,,
MomentumBuilder,10,6,-14.432001032971932,-15.0,0.5679989670280676,0.27234697341918945,0.12317705154418945,0.149169921875,10,13,False,,,,,
MomentumBuilder,11,6,-6.203923155325461,-12.0,5.796076844674539,1.7261712551116943,1.4800209999084473,0.24615025520324707,20,12,False,,,,,
MomentumBuilder,12,6,-15.769273111888012,-10.0,5.769273111888012,0.3609426021575928,0.19399785995483398,0.1669447422027588,11,10,False,,,,,
MomentumBuilder,1,7,-9.999999993118848,-10.0,6.881151648485684e-09,0.02157902717590332,8.916854858398438e-05,0.021489858627319336,1,1,True,,,,,
MomentumBuilder,2,7,10.000000006611288,500.0,489.9999999933887,0.018378019332885742,8.606910705566406e-05,0.018291950225830078,1,1,False,,,,,
MomentumBuilder,3,7,-9.999975318777821,-10.0,2.4681222178912776e-05,0.15119099617004395,0.030023813247680664,0.12116718292236328,8,13,True,,,,,
MomentumBuilder,4,7,-12.838442185295605,-13.0,0.1615578147043948,0.18259215354919434,0.032267093658447266,0.15032505989074707,8,13,False,,,,,
MomentumBuilder,5,7,-21.415277990258588,-22.0,0.5847220097414123,0.20177173614501953,0.06537866592407227,0.13639307022094727,9,14,False,,,,,
MomentumBuilder,6,7,-2.6110233731478596,-7.0,4.38897662685214,0.30835700035095215,0.11507105827331543,0.19328594207763672,10,13,False,,,,,
MomentumBuilder,7,7,-14.895473163490394,-24.0,9.104526836509606,0.5734820365905762,0.21434497833251953,0.35913705825805664,11,9,False,,,,,
MomentumBuilder,8,7,-9.99954949913456,-10.0,0.0004505008654405174,0.28032994270324707,0.13505101203918457,0.1452789306640625,10,12,True,,,,,
MomentumBuilder,9,7,-7.824657510058383,-10.0,2.1753424899416167,0.3129761219024658,0.11868619918823242,0.1942899227142334,10,14,False,,,,,
MomentumBuilder,10,7,-14.432001032971932,-15.0,0.5679989670280676,0.261707067489624,0.11073684692382812,0.1509702205657959,10,13,False,,,,,
MomentumBuilder,11,7,-6.203923155325461,-12.0,5.796076844674539,1.690030813217163,1.355771780014038,0.334259033203125,20,12,False,,,,,
MomentumBuilder,12,7,-15.769273111888012,-10.0,5.769273111888012,0.385120153427124,0.20795798301696777,0.17716217041015625,11,10,False,,,,,
MomentumBuilder,1,8,-9.999999993118848,-10.0,6.881151648485684e-09,0.023160696029663086,8.988380432128906e-05,0.023070812225341797,1,1,True,,,,,
MomentumBuilder,2,8,10.000000006611288,500.0,489.9999999933887,0.02889847755432129,0.0001373291015625,0.02876114845275879,1,1,False,,,,,
MomentumBuilder,3,8,-9.999975318777821,-10.0,2.4681222178912776e-05,0.15728497505187988,0.03191113471984863,0.12537384033203125,8,13,True,,,,,
MomentumBuilder,4,8,-12.838442185295605,-13.0,0.1615578147043948,0.16053414344787598,0.03244614601135254,0.12808799743652344,8,13,False,,,,,
MomentumBuilder,5,8,-21.415277990258588,-22.0,0.5847220097414123,0.21211028099060059,0.07106828689575195,0.14104199409484863,9,14,False,,,,,
MomentumBuilder,6,8,-2.6110233731478596,-7.0,4.38897662685214,0.27042484283447266,0.10581183433532715,0.1646130084991455,10,13,False,,,,,
MomentumBuilder,7,8,-14.895473163490394,-24.0,9.104526836509606,0.41490960121154785,0.23986268043518066,0.1750469207763672,11,9,False,,,,,
MomentumBuilder,8,8,-9.99954949913456,-10.0,0.0004505008654405174,0.3161661624908447,0.1291489601135254,0.18701720237731934,10,12,True,,,,,
MomentumBuilder,9,8,-7.824657510058383,-10.0,2.1753424899416167,0.26534533500671387,0.12100005149841309,0.14434528350830078,10,14,False,,,,,
MomentumBuilder,10,8,-14.432001032971932,-15.0,0.5679989670280676,0.2674102783203125,0.11829209327697754,0.14911818504333496,10,13,False,,,,,
MomentumBuilder,11,8,-6.203923155325461,-12.0,5.796076844674539,1.4098029136657715,1.1722447872161865,0.23755812644958496,20,12,False,,,,,
MomentumBuilder,12,8,-15.769273111888012,-10.0,5.769273111888012,0.3391590118408203,0.18437504768371582,0.1547839641571045,11,10,False,,,,,
MomentumBuilder,1,9,-9.999999993118848,-10.0,6.881151648485684e-09,0.018930912017822266,8.988380432128906e-05,0.018841028213500977,1,1,True,,,,,
MomentumBuilder,2,9,10.000000006611288,500.0,489.9999999933887,0.0198519229888916,8.678436279296875e-05,0.019765138626098633,1,1,False,,,,,
MomentumBuilder,3,9,-9.999975318777821,-10.0,2.4681222178912776e-05,0.1427750587463379,0.029722213745117188,0.1130528450012207,8,13,True,,,,,
MomentumBuilder,4,9,-12.838442185295605,-13.0,0.1615578147043948,0.1569957733154297,0.03084588050842285,0.12614989280700684,8,13,False,,,,,
MomentumBuilder,5,9,-21.415277990258588,-22.0,0.5847220097414123,0.19291090965270996,0.0622708797454834,0.13064002990722656,9,14,False,,,,,
MomentumBuilder,6,9,-2.6110233731478596,-7.0,4.38897662685214,0.2552199363708496,0.11098790168762207,0.14423203468322754,10,13,False,,,,,
